,ResponseId,Gender_f,Age,Income,No Income,Energy Consumption,payment_1,Region West,Region East,Household_size,Concern_1,RES_attitude_1,Know_green_provider,Providers_count,Appliance_count,Task_temp,Task_consumption,Task_appliances,Task_source
80,R_1NkaRgMLnIyEWZj,1,31,0,1,0,155,0,0,5,3,4,0,4,3,2,4,4,3
81,R_z6ksZjYpS8zEERr,1,45,2,0,1,60,0,1,4,3,3,1,5,5,4,5,5,4
82,R_31Kr61s2HjiXSih,1,33,4,0,0,56,1,0,4,5,5,0,4,2,5,5,1,1
83,R_1JUCfUUzgBoYanT,1,53,1,0,1,185,0,1,2,2,2,0,2,4,3,4,5,3
84,R_411JyVmCp4AHsid,0,59,6,0,0,70,1,0,4,1,2,0,4,5,3,4,4,3
85,R_2QKcIIvm7Jye2hw,0,24,5,0,0,43,0,1,2,4,5,1,4,5,3,4,4,3
86,R_2xK3gqRMLuSyToi,1,24,2,0,0,127,0,1,3,3,4,1,5,3,4,4,2,2
87,R_00tPAs3hLPhQdZT,1,24,4,0,0,120,0,1,4,4,4,1,6,6,5,5,3,3
88,R_2WxvAWyt0VWZKMP,1,26,4,0,1,85,0,1,2,2,5,0,4,6,5,5,5,1
89,R_3jW37XWw58WgCRe,1,23,3,0,0,53,0,1,2,2,4,0,4,5,4,4,4,3
90,R_DpcdFDzcb0kRI1X,1,20,0,1,0,51,0,1,2,4,5,0,4,6,1,4,3,2
91,R_W6jjdOw2pX4i2Nb,1,22,3,0,0,66,0,1,2,1,3,0,3,3,1,5,4,1
92,R_UMgGlTIPPVpM2Cl,1,21,2,0,0,123,0,1,3,3,5,1,4,6,4,5,5,2
93,R_3gMisHlN7lJPoqm,0,32,6,0,0,10,0,1,1,3,5,0,3,4,3,2,5,3
94,R_cRMu0tHXmNexX7H,1,32,6,0,0,32,1,0,2,4,3,0,3,3,1,4,4,1
95,R_1E5nU8Yc7WrhjF3,0,25,3,0,0,20,0,1,1,3,3,1,5,2,4,5,2,2
96,R_tG1IUuQXspwfi9z,1,21,4,0,0,83,0,1,4,5,5,0,5,7,3,5,5,1
97,R_3exAEBmQmE50CVH,0,29,3,0,0,50,0,1,1,2,4,1,7,3,5,5,5,3
98,R_74D67DEEpySpBOV,0,23,5,0,0,59,0,1,2,5,5,0,5,4,1,4,5,4
99,R_RgUYb2UIGsvVgS5,1,30,4,0,0,54,0,1,2,5,3,0,2,5,5,5,5,1
100,R_A05GC2Fm4mWARZD,0,33,6,0,0,88,0,1,3,2,5,1,7,7,5,5,5,2
101,R_3KCNla3Sv0uTzF7,0,54,3,0,0,40,1,0,5,1,1,0,3,4,2,5,5,4
102,R_3MrtSL8xkCCYQBx,1,27,6,0,0,132,0,1,2,2,5,0,1,3,4,4,4,1
103,R_VIr0xa0VsYBrfbz,0,19,3,0,1,129,0,1,4,4,5,0,3,4,4,5,5,3
104,R_2w4CoKMnZCQtpXg,0,28,3,0,0,120,0,1,3,3,3,0,2,5,5,5,4,2
105,R_2feXTYzGyG91PNE,0,29,5,0,0,30,0,1,1,4,4,1,5,2,5,5,5,2
106,R_Q3ROL3ygXeo9i8h,0,24,6,0,0,50,0,1,2,5,4,1,6,5,4,5,5,4
107,R_e3YYeE5sB9xAcSJ,1,58,4,0,0,26,1,0,2,3,4,0,2,3,4,4,4,3
108,R_3kHPD0vxwbjFq3m,1,18,0,1,0,151,0,1,4,3,3,0,3,4,3,4,3,3
109,R_3qx7cCBjdww0Mu8,1,44,2,0,0,60,0,0,6,4,4,0,1,3,4,4,4,4
110,R_3nSrJLDJiYnhvLz,1,62,2,0,1,54,0,1,1,4,4,0,5,4,4,4,5,3
111,R_2sZ9jGAmaddENVs,1,62,6,0,1,75,0,1,2,2,4,0,2,4,5,5,5,3
